"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_inventorymanagermenu_playernotfound","Player Not Found / Out Of Range","Player Not Found / Out Of Range","Hráč nebyl nalezen / mimo rozsah","Spieler nicht gefunden / außerhalb der Reichweite","Игрок не найден / вне диапазона","Gracz nie odkrył / poza zasięgiem","A játékos nem található / távolságon kívül","Giocatore non trovato / fuori portata","Jugador no encontrado / fuera de rango","Joueur non trouvé / hors de portée","未找到玩家/超出範圍","プレーヤーが見つかりません /範囲外","Jogador não encontrado / fora de alcance","未找到玩家/超出范围",
"str_inventorymanagermenu_clearinventoryquestion","Clear Inventory?","Clear Inventory?","Jasný inventář?","Klares Inventar?","Четкий инвентарь?","Jasne zapasy?","Tiszta leltár?","Inventario chiaro?","¿Inventario claro?","Inventaire clair?","清空背包？","在庫を明確にしますか？","Inventário claro?","清空背包？",
"str_inventorymanagermenu_repairallquestion","Repair all items?","Repair all items?","Opravit všechny položky?","Alle Gegenstände reparieren?","Ремонтировать все предметы?","Naprawić wszystkie przedmioty?","Javítsa meg az összes elemet?","Riparare tutti gli articoli?","Reparar todos los artículos?","Réparer tous les articles?","修理所有物品？","すべてのアイテムを修理しますか？","Reparar todos os itens?","修理所有物品？",
"str_inventorymanagermenu_areyousure","Are you sure?","Are you sure?","Jsi si jistý?","Bist du sicher?","Вы уверены?","Jesteś pewien?","Biztos vagy benne?","Sei sicuro?","¿Está seguro?","Es-tu sûr?","你确定吗？","本気ですか？","Tem certeza?","你确定吗？",
"str_inventorymanagermenu_deleteitem","Delete Item: {0}?","Delete Item: {0}?","Odstranit položku: {0}?","Element löschen: {0}?","Удалить элемент: {0}?","Usuń element: {0}?","Elem törlése: {0}?","Elimina elemento: {0}?","Eliminar el elemento: {0}?","Supprimer l'élément: {0}?","删除物品：{0}？","アイテムを削除：{0}？","Excluir item: {0}?","删除物品：{0}？",
"str_inventorymanagermenu_confirmationalreadyopen","Confirmation Window is already open!","Confirmation Window is already open!","Okno potvrzení je již otevřené!","Das Bestätigungsfenster ist bereits geöffnet!","Окно подтверждения уже открыто!","Okno potwierdzenia jest już otwarte!","A megerősítő ablak már nyitva van!","La finestra di conferma è già aperta!","¡La ventana de confirmación ya está abierta!","La fenêtre de confirmation est déjà ouverte!","確認視窗已經開啟！","確認ウィンドウはすでに開いています！","A janela de confirmação já está aberta!","确认窗口已经打开！",
"str_inventorymanager_im","Inventory Manager","Inventory Manager","Správce zásob","Inventurmanager","Менеджер по инвентарям","Menedżer zapasów","Leltárkezelő","Manager di inventario","Gerente de inventario","Responsable des stocks","背包管理","在庫マネージャー","Gerente de inventário","背包管理",
"str_inventorymanager_clearinventoryfailed","Failed to clear inventory! (Player not found)","Failed to clear inventory! (Player not found)","Nepodařilo se vyčistit zásoby! (Hráč nebyl nalezen)","Versäumt es, Inventar zu löschen! (Spieler nicht gefunden)","Не удалось прояснить инвентарь! (Игрок не найден)","Nie udało się wyczyścić zapasów! (Gracz nie znaleziono)","Nem sikerült eltávolítani a leltárt! (A játékos nem található)","Non è riuscito a cancellare l'inventario! (Giocatore non trovato)","¡No se pudo aclarar el inventario! (Jugador no encontrado)","Échec de l'effondrement de l'inventaire! (Joueur non trouvé)","清空背包失敗！（未找到玩家）","在庫をクリアできませんでした！ （プレーヤーが見つかりません）","Não conseguiu limpar o inventário! (Jogador não encontrado)","清空背包失败！（未找到玩家）",
"str_inventorymanager_clearinventorysuccess","Cleared inventory of {0}","Cleared inventory of {0}","Vymazaný soupis {0}","Gelöschtes Inventar von {0}","Очищенный инвентарь {0}","Wyczyść zapas {0}","A {0} törlési leltár","Inventario cancellato di {0}","Inventario borrado de {0}","Inventaire effacé de {0}","清除的{0}的背包","{0}のクリアされた在庫","Inventário limpo de {0}","清除的{0}的背包",
"str_inventorymanager_repairallfailed","Failed to repair inventory! (Player not found)","Failed to repair inventory! (Player not found)","Nepodařilo se opravit zásoby! (Hráč nebyl nalezen)","Inventar nicht repariert! (Spieler nicht gefunden)","Не удалось отремонтировать инвентарь! (Игрок не найден)","Nie udało się naprawić zapasów! (Gracz nie znaleziono)","Nem sikerült kijavítani a leltárt! (A játékos nem található)","Impossibile riparare l'inventario! (Giocatore non trovato)","¡No se pudo reparar el inventario! (Jugador no encontrado)","Impossible de réparer l'inventaire! (Joueur non trouvé)","修復背包失敗！ （未找到玩家）","在庫の修理に失敗しました！ （プレーヤーが見つかりません）","Falha ao reparar o inventário! (Jogador não encontrado)","修复背包失败！（未找到玩家）",
"str_inventorymanager_repairallsuccess","Repaired all items in {0}'s inventory","Repaired all items in {0}'s inventory","Opravil všechny položky v {0 }'s Inventory","Reparierte alle Gegenstände im Inventar von {0}","Ремонтировал все предметы в инвентаре {0}","Naprawiono wszystkie elementy w ekwipunku {0}","Az összes elemet a {0} készletében javították","Riparati tutti gli articoli nell'inventario di {0}","Reparó todos los artículos en el inventario de {0}","Réparation de tous les articles dans l'inventaire de {0}","修復了{0}背包中的所有物品","{0}のインベントリですべてのアイテムを修理しました","Reparou todos os itens no inventário {0}","修复了{0}背包中的所有物品",
"str_inventorymanager_deleteditem","Deleted item {0}","Deleted item {0}","Smazaná položka {0}","Gelöschter Element {0}","Удаленный элемент {0}","Usunięty element {0}","Törölt elem {0}","Elemento cancellato {0}","Elemento eliminado {0}","Élément supprimé {0}","删除物品{0}","削除されたアイテム{0}","Item excluído {0}","删除物品{0}",
"str_inventorymanager_takeitemfailed","Failed to take item! (Item or player not found)","Failed to take item! (Item or player not found)","Nepodařilo se vzít položku! (Položka nebo hráč nenalezena)","Ich habe keinen Artikel genommen! (Artikel oder Spieler nicht gefunden)","Не удалось взять товар! (Предмет или игрок не найден)","Nie udało się wziąć przedmiotu! (Przedmiot lub gracz nie znaleziono)","Nem sikerült elkészíteni az elemet! (Az elem vagy a játékos nem található)","Impossibile prendere l'oggetto! (Articolo o giocatore non trovato)","¡No se pudo tomar el artículo! (Artículo o reproductor no encontrado)","N'a pas réussi à prendre l'article! (Article ou joueur introuvable)","取物失敗！（未找到物品或玩家）","アイテムを取ることができませんでした！ （アイテムまたはプレーヤーが見つかりません）","Falha ao tomar item! (Item ou jogador não encontrado)","取物失败！（未找到物品或玩家）",
"str_inventorymanager_takeitemfailedself","You cannot take an item from yourself!","You cannot take an item from yourself!","Nemůžete si vzít položku od sebe!","Sie können keinen Artikel von sich selbst nehmen!","Вы не можете взять предмет у себя!","Nie możesz wziąć od siebie przedmiotu!","Nem vehetsz el egy elemet magadtól!","Non puoi prendere un oggetto da te!","¡No puedes sacar un artículo de ti mismo!","Vous ne pouvez pas prendre un article de vous!","你不能從自己身上拿走任何物品！","自分からアイテムを取ることはできません！","Você não pode pegar um item de si mesmo!","你不能从自己身上拿走任何物品！",
"str_inventorymanager_takeitemfailedspace","You do not have enough inventory space!","You do not have enough inventory space!","Nemáte dostatek prostoru zásob!","Sie haben nicht genug Lagerraum!","У вас недостаточно места инвентаря!","Nie masz wystarczającej ilości przestrzeni zapasów!","Nincs elég készlet -hely!","Non hai abbastanza spazio di inventario!","¡No tienes suficiente espacio de inventario!","Vous n'avez pas assez d'espace d'inventaire!","您的背包空間不足！","十分な在庫スペースがありません！","Você não tem espaço de inventário suficiente!","您的背包空间不足！",
"str_inventorymanager_takeitemfailedmove","Move item failed.","Move item failed.","Položka přesunu selhala.","Gegenstand verschieben.","Переместить элемент не удался.","Przenieś pozycję nie powiodła się.","Az elem mozgatása sikertelen.","Sposta l'articolo non riuscito.","Mover el elemento fallido.","Déplacer l'élément échoué.","移動物品失敗。","移動アイテムが失敗しました。","Mover o item falhou.","移动物品失败。",
"str_inventorymanager_setitemnotfound","Failed to set item! Item does not exist or is not stackable!","Failed to set item! Item does not exist or is not stackable!","Nepodařilo se nastavit položku! Položka neexistuje nebo není stohovatelná!","Ich habe den Artikel nicht festgelegt! Artikel existiert nicht oder ist nicht stapelbar!","Не удалось установить элемент! Элемент не существует или не может быть складываемым!","Nie udało się ustawić przedmiotu! Przedmiot nie istnieje lub nie jest stosowany!","Nem sikerült beállítani az elemet! Az elem nem létezik, vagy nem rakható le!","Impossibile impostare l'oggetto! L'oggetto non esiste o non è impilabile!","¡No se pudo establecer el elemento! ¡El artículo no existe o no es apilable!","Échec de l'élément! L'article n'existe pas ou n'est pas empilable!","設定物品失敗！物品不存在或不可堆疊！","アイテムを設定できませんでした！アイテムは存在しないか、積み重ねられません！","Falha ao definir o item! O item não existe ou não é empilhável!","设置物品失败！物品不存在或不可堆叠！",
"str_inventorymanager_setitemfailedgreaterthanmax","Failed to set item! Quantity greater than max!","Failed to set item! Quantity greater than max!","Nepodařilo se nastavit položku! Množství větší než max!","Ich habe den Artikel nicht festgelegt! Menge größer als max!","Не удалось установить элемент! Количество больше, чем Макс!","Nie udało się ustawić przedmiotu! Ilość większa niż Max!","Nem sikerült beállítani az elemet! A maximálisnál nagyobb mennyiség!","Impossibile impostare l'oggetto! Quantità maggiore di Max!","¡No se pudo establecer el elemento! Cantidad mayor que Max!","Échec de l'élément! Quantité supérieure à Max!","設定物品失敗！數量超過上限！","アイテムを設定できませんでした！最大より大きい量！","Falha ao definir o item! Quantidade maior que Max!","设置物品失败！数量超过上限！",
"str_inventorymanager_setitemfailedlessthanone","Failed to set item! Quantity less than 1!","Failed to set item! Quantity less than 1!","Nepodařilo se nastavit položku! Množství menší než 1!","Ich habe den Artikel nicht festgelegt! Menge weniger als 1!","Не удалось установить элемент! Количество меньше 1!","Nie udało się ustawić przedmiotu! Ilość mniejsza niż 1!","Nem sikerült beállítani az elemet! Mennyiség kevesebb, mint 1!","Impossibile impostare l'oggetto! Quantità inferiore a 1!","¡No se pudo establecer el elemento! Cantidad menos de 1!","Échec de l'élément! Quantité moins de 1!","設定物品失敗！數量少於 1！","アイテムを設定できませんでした！数量未満​​！","Falha ao definir o item! Quantidade menor que 1!","设置物品失败！数量少于 1！",
"str_inventorymanager_setitemgenericfail","Failed to set item quantity.","Failed to set item quantity.","Nepodařilo se nastavit množství položky.","Die Elementmenge nicht festgelegt.","Не удалось установить количество элементов.","Nie udało się ustawić ilości elementu.","Nem sikerült beállítani az elem mennyiségét.","Impossibile impostare la quantità dell'articolo.","No se pudo establecer la cantidad del artículo.","Impossible de définir la quantité d'élément.","無法設定物品數量。","アイテムの数量を設定できませんでした。","Falha ao definir a quantidade de item.","无法设置物品数量。",
"str_inventorymanager_setitemsuccess","Set item quantity to {0}","Set item quantity to {0}","Nastavte množství položky na {0}","Setzen Sie die Elementmenge auf {0}","Установите количество элемента в {0}","Ustaw ilość elementu na {0}","Állítsa be az elemmennyiséget {0} értékre","Imposta la quantità di elemento su {0}","Establezca la cantidad del artículo en {0}","Définir la quantité d'élément sur {0}","將物品數量設定為 {0}","アイテム数量を{0}に設定します","Defina a quantidade do item como {0}","将物品数量设置为 {0}",
"str_inventorymanager_spawnitemfailednotfound","Failed to spawn item! Item does not exist","Failed to spawn item! Item does not exist","Nepodařilo se vynořit položku! Položka neexistuje","Ich habe es nicht geschafft, Gegenstand zu laichen! Artikel existiert nicht","Не удалось породить предмет! Пункт не существует","Nie udało się odrodzić przedmiotu! Przedmiot nie istnieje","Nem sikerült ívni az elemet! Az elem nem létezik","Impossibile generare oggetto! L'oggetto non esiste","¡No se pudo generar un artículo! El artículo no existe","Échec de l'article! L'article n'existe pas","无法产生物品！项目不存在","アイテムのスポーンに失敗しました！アイテムは存在しません","Falha ao gerar item! O item não existe","无法产生物品！项目不存在",
"str_inventorymanager_spawnitemfailedhealthinvalid","Failed to spawn item! Health is not valid","Failed to spawn item! Health is not valid","Nepodařilo se vynořit položku! Zdraví není platné","Ich habe es nicht geschafft, Gegenstand zu laichen! Gesundheit ist nicht gültig","Не удалось породить предмет! Здоровье недопустимо","Nie udało się odrodzić przedmiotu! Zdrowie nie jest ważne","Nem sikerült ívni az elemet! Az egészség nem érvényes","Impossibile generare oggetto! La salute non è valida","¡No se pudo generar un artículo! La salud no es válida","Échec de l'article! La santé n'est pas valable","无法产生物品！健康无效","アイテムのスポーンに失敗しました！健康は無効です","Falha ao gerar item! Saúde não é válida","无法产生物品！健康无效",
"str_inventorymanager_spawnitemfaileddestination","Failed to spawn item! Invalid Destination!","Failed to spawn item! Invalid Destination!","Nepodařilo se vynořit položku! Neplatný cíl!","Ich habe es nicht geschafft, Gegenstand zu laichen! Ungültiges Ziel!","Не удалось породить предмет! Неверное место назначения!","Nie udało się odrodzić przedmiotu! Niepoprawne miejsce docelowe!","Nem sikerült ívni az elemet! Érvénytelen úticél!","Impossibile generare oggetto! Destinazione non valida!","¡No se pudo generar un artículo! ¡Destino no válido!","Échec de l'article! Destination non valide!","生成物品失敗！物品不存在！","アイテムのスポーンに失敗しました！無効な目的地！","Falha ao gerar item! Destino inválido!","生成物品失败！物品不存在！",
"str_inventorymanager_spawnitemgenericfail","Failed to spawn item!","Failed to spawn item!","Nepodařilo se vynořit položku!","Ich habe es nicht geschafft, Gegenstand zu laichen!","Не удалось породить предмет!","Nie udało się odrodzić przedmiotu!","Nem sikerült ívni az elemet!","Impossibile generare oggetto!","¡No se pudo generar un artículo!","Échec de l'article!","生成物品失敗！","アイテムのスポーンに失敗しました！","Falha ao gerar item!","生成物品失败！",
"str_inventorymanager_spawnitemfailedquantity","Failed to spawn item! Quantity is not valid","Failed to spawn item! Quantity is not valid","Nepodařilo se vynořit položku! Množství není platné","Ich habe es nicht geschafft, Gegenstand zu laichen! Menge ist nicht gültig","Не удалось породить предмет! Количество недопустимо","Nie udało się odrodzić przedmiotu! Ilość jest nieprawidłowa","Nem sikerült ívni az elemet! A mennyiség nem érvényes","Impossibile generare oggetto! La quantità non è valida","¡No se pudo generar un artículo! La cantidad no es válida","Échec de l'article! La quantité n'est pas valide","物品生成失敗！數量無效","アイテムのスポーンに失敗しました！数量は無効です","Falha ao gerar item! A quantidade não é válida","物品生成失败！数量无效",
"str_inventorymanager_spawnitemsuccessgave","Gave {0} to {1}","Gave {0} to {1}","Dal {0} na {1}","Gab {0} an {1}","Дал {0} {1}","Dał {0} do {1}","Adta {0} -et {1} -nak","Ha dato {0} a {1}","Dio {0} a {1}","A donné {0} à {1}","已將{0}給與{1}","{0}を{1}に与えました","Deu {0} a {1}","已将{0}给与{1}",
"str_inventorymanager_spawnitemsuccessposition","Spawn {0} at players position","Spawn {0} at players position","Spawn {0} na pozici hráčů","Spawn {0} an der Position der Spieler","Spawn {0} на позиции игроков","Spawn {0} na pozycji graczy","Spawn {0} a játékosok helyzetében","Spawn {0} in posizione giocatori","Engendrar {0} en la posición de los jugadores","Spawn {0} en position des joueurs","在玩家位置生成{0}","プレーヤーの位置で{0}をスポーンします","Spawn {0} na posição dos jogadores","在玩家位置生成{0}",
